---------------------------------------------------------------------------------------
Deformed nodes - last iteration for last step
---------------------------------------------------------------------------------------
|      node|                       X|                       Y|                       Z|
---------------------------------------------------------------------------------------
|         1|      0.000000000000E+00|      0.000000000000E+00|      0.000000000000E+00|
|         2|      0.120000000000E+01|      0.000000000000E+00|      0.000000000000E+00|
|         3|      0.120000000000E+01|      0.954986910905E+00|      0.000000000000E+00|
|         4|      0.000000000000E+00|      0.954986910905E+00|      0.000000000000E+00|
|         5|      0.000000000000E+00|      0.000000000000E+00|      0.954986910905E+00|
|         6|      0.120000000000E+01|      0.000000000000E+00|      0.954986910905E+00|
|         7|      0.120000000000E+01|      0.954986910905E+00|      0.954986910905E+00|
|         8|      0.000000000000E+00|      0.954986910905E+00|      0.954986910905E+00|
|         9|      0.600000000000E+00|      0.477493455453E+00|      0.000000000000E+00|
|        10|      0.600000000000E+00|      0.477493455453E+00|      0.954986910905E+00|
|        11|      0.600000000000E+00|      0.000000000000E+00|      0.477493455453E+00|
|        12|      0.120000000000E+01|      0.477493455453E+00|      0.477493455453E+00|
|        13|      0.600000000000E+00|      0.954986910905E+00|      0.477493455453E+00|
|        14|      0.000000000000E+00|      0.477493455452E+00|      0.477493455452E+00|
